subcategory,business,address,phone,confidence,source_url,notes
marine-supply,Propeller CO,1520 Acoma Ln W Ste A,,med,https://www.yelp.com/search?find_desc=Prop+Shop&find_loc=Lake+Havasu+City,+AZ,Propeller specialist
on-the-water,Lake Havasu Marina,1100 McCulloch Blvd N,,high,https://www.golakehavasu.com/things-to-do/boating/launch-ramps-marinas/,Full marina (launch/slips/gas)
on-the-water,Sandbar Watersports,1595 Countryshire Ave,(928) 854-4242,high,https://sandbarwatersports.com/,Boat & jet ski rentals/cruises (also offroad tours/dealer)
restaurants,Javelina Cantina,1420 N McCulloch Blvd,(928) 855-8226,high,https://www.yelp.com/biz/javelina-cantina-lake-havasu-city,Major Mexican at London Bridge 540+ reviews
restaurants,The Foundry Plates & Spirits,210 Swanson Ave,(928) 302-1504,high,https://www.yelp.com/biz/the-foundry-plates-and-spirits-lake-havasu-city,New-American + craft cocktail bar
restaurants,Thai Food Restaurant,2010 McCulloch Blvd N,,med,https://www.golakehavasu.com/directory/thai-food-restaurant/,Only Thai sit-down in town
cafes-coffee,Makai Cafe,1425 N McCulloch Blvd,,high,https://www.makaicafe.com/,Waterfront cafe; listed under Restaurants but not Cafes
golf,Havasu Island Golf Course,1000 McCulloch Blvd N (86403),(928) 855-5585,high,https://www.tripadvisor.com/Attraction_Review-g31262-d268750.html,Public 18-hole executive course
disc-golf,Grand Island Disc Golf Course,Grand Island Park,,high,https://www.tripadvisor.com/Attraction_Review-g31262-d10001140.html,9-hole free public course
biking,Lake Havasu Bike & Fitness,151 Swanson Ave Ste A&B,(928) 453-9777,high,https://www.lakehavasubike.com/,Second established bike shop
trails-offroad,Wet Monkey Powersport Rentals,699 London Bridge Rd,(928) 855-2022,high,https://www.wetmonkeyrentals.com/off-road-rentals/,Can-Am UTV/off-road rentals
trails-offroad,Desert Experience Offroad Rentals,Lake Havasu City,,med,https://desertexperienceor.com/,UTV/SXS off-road rentals
trails-offroad,Bee's Rentals,Lake Havasu City (86403),(928) 476-0083,med,https://www.yelp.com/biz/bees-rentals-lake-havasu-city-2,ATV/UTV rentals & tours
parks-beaches,Cypress Park,off Daytona Ave,,high,https://www.lhcaz.gov/341/Cypress-Park,Official city park
parks-beaches,Indian Bend Park,Lake Havasu City,,high,https://www.lhcaz.gov/343/Indian-Bend-Park,Official city park
parks-beaches,Island Ball Fields,The Island,,high,https://www.lhcaz.gov/339/Island-Ball-Fields,Official city park/fields
parks-beaches,Robyn Parrott Park,Lake Havasu City,,high,https://www.lhcaz.gov/342/Robyn-Parrott-Park,Official city park
parks-beaches,Site Six,London Bridge Rd (The Island),,high,https://www.lhcaz.gov/335/Site-Six,City park + only free public boat launch
martial-arts,Next Generation Mixed Martial Arts,Lake Havasu City,,med,https://www.findmmagym.com/mmagym-arizona/next-generation-mixed-martial-arts-lake-havasu/,MMA/BJJ/Muay Thai gym
martial-arts,Seibukan Karate-Do,Lake Havasu City,,med,https://www.yelp.com/search?cflt=martialarts&find_loc=Lake+Havasu+City,+AZ,Traditional karate dojo
studios,Arizona Coast Performing Arts,3476 McCulloch Blvd,(928) 208-2273,high,https://www.arizonacoastperformingarts.com/,Dance studio ages 3-adult (also kids-lessons)
kids-lessons,Aqua Beginnings Swim Lessons,Lake Havasu City,,high,https://aquabeginnings.com/,Kids swim lesson program
kids-lessons,Lake Havasu City Aquatic Center,100 Park Ave,(928) 453-8686,high,https://www.lhcaz.gov/parks-recreation/open-swim-schedule,City youth swim lessons (also racquet courts)
home-goods,Havasu Furniture & Bedding,1607 Mesquite Ave (86403),(928) 854-4814,high,https://www.yelp.com/biz/havasu-furniture-and-bedding-lake-havasu-city,Major locally-owned furniture showroom
specialty,Havasu Bait & Tackle,3032 London Bridge Rd (86404),(928) 764-2248,high,https://www.yelp.com/biz/havasu-bait-and-tackle-lake-havasu-city,Bait & tackle / sporting goods
specialty,West Marine,1517 Industrial Blvd (86403),(928) 505-4444,high,https://www.yelp.com/biz/west-marine-lake-havasu-city,Marine/fishing gear retailer (also marine-supply)
specialty,Sky Shark Hobbies,260 London Bridge Rd (86403),(928) 854-6100,low,https://www.yellowpages.com/lake-havasu-city-az/sky-shark-hobbies,R/C hobby shop (verify vs Bass Tackle Master same address)
markets,Walmart Supercenter (grocery),5695 US-95 N,,high,https://www.walmart.com/store/1364-lake-havasu-city-az,Only the deli is listed; grocery is under Specialty
home-services,Havasu Soft Wash,Lake Havasu City (mobile),(928) 486-5074,high,https://havasusoftwash.com/,Window/exterior power washing
home-services,Integrity Garage Door Repair,Lake Havasu City,,high,https://integritygarageaz.com/,No garage-door specialist in directory
home-services,Amici Pools,Lake Havasu City,,high,https://amicipools.com/,25+ yr pool service
home-services,KRT Pool Care,Lake Havasu City,,med,https://www.havasupoolservice.com/,Pool/spa maintenance
home-services,Bliss Pool Care,Lake Havasu City,(928) 208-8235,med,https://www.lakehavasupoolcare.com/,15+ yr pool service
home-services,Reinhard Pool & Spa,Lake Havasu City,,med,https://reinhardpool.com/,Pool products/service
home-services,River Palm Landscaping,Lake Havasu City,,med,https://riverpalmlandscaping.com/,Established landscaper since 2003
home-services,Alpine Plumbing & Air,Lake Havasu City,,med,https://www.alpineplumbingandair.com/,Plumbing + HVAC
home-services,Affordable Plumbing and Appliance Service,Lake Havasu City,(928) 230-1138,med,https://www.havasuaffordableplumbing.com/,Plumbing + appliance repair
auto,Walmart Auto Care Center,5695 AZ-95 N,,high,https://www.walmart.com/store/1364-lake-havasu-city-az/tire-shop,Tire/lube/battery service
auto,Byrd's Mobile RV & Marine Repair,1575 Dover Ave #106 (86404),(928) 412-0450,high,https://byrdsmobile.net/,Mobile RV/marine repair
storage,U-Haul Moving & Storage,Lake Havasu City,,high,https://www.uhaul.com/Storage/Lake-Havasu-City-AZ/Results/,National self-storage + truck rental
health-medical,NextCare Urgent Care,1810 Mesquite Ave Ste B,,high,https://nextcare.com/locations/az/lake-havasu-city/,Urgent care clinic
health-medical,TrueCare Urgent Care,2035 Mesquite Ave Ste A,(928) 846-4343,high,https://www.truecareurgentcare.com/,Urgent care clinic
health-medical,Havasu Regional Urgent Care,1799 Kiowa Ave Ste 104,,high,https://www.solvhealth.com/havasu-regional-urgent-care-lake-havasu-city-az-gJBq7g,Hospital-affiliated urgent care
health-medical,Optima Medical (Central Lake Havasu),2035 Mesquite Ave,(928) 208-4598,med,https://optimamedicalaz.com/locations/details/central-lake-havasu/,Primary care
health-medical,Barnet Dulaney Perkins Eye Center,Lake Havasu Ave,,med,https://www.goodeyes.com/eye-centers/lake-havasu/,Ophthalmology
health-medical,Lake Havasu Family Eyecare,McCulloch Blvd N,,med,https://lakehavasufamilyeyecare.com/,Optometry
health-medical,Huffman Chiropractic,Lake Havasu City,(928) 453-6808,med,https://www.huffmanchiro.com/,Chiropractic + massage
health-medical,Skin and Cancer Institute,1840 Mesquite Ave g102,,med,https://skinandcancerinstitute.com/location/lake-havasu/,Dermatology
professional,Knochel Law Offices,245 London Bridge Rd,(928) 680-1181,med,https://www.yelp.com/biz/knochel-law-offices-lake-havasu-city-3,Law firm
professional,Havasu Community Credit Union,1871 Kiowa Ave,(866) 287-6225,med,https://www.yelp.com/biz/havasu-community-credit-union-lake-havasu-city,Credit union
pets,Advanced Animal Care,Lake Havasu City,(928) 770-4918,high,https://aac.vet/lake-havasu-city/,AAHA-accredited vet
pets,Lange Veterinary Center,195 Paseo Del Sol Ave,(928) 453-2022,high,https://www.langevet.com/,Full-service vet since 1992
pets,Western Arizona Humane Society Medical Clinic,2610 Sweetwater Ave,,med,https://wahsvet.org/,Low-cost vet clinic (cross-list w/ civic)
beauty,Bri & Co. Hair Studio,2126 McCulloch Blvd N,,med,https://www.yelp.com/biz/bri-and-co-hair-studio-lake-havasu-city,Hair salon
beauty,Havasu Hair Design,344 London Bridge Rd Ste C,,med,https://havasuhairdesign.com/,Hair salon
beauty,Great Clips (Shops at Lake Havasu),5601 Hwy 95 N,,med,https://salons.greatclips.com/us/az/lake-havasu/5601-hwy-95-n,Walk-in salon chain
beauty,Great Clips (Bashas),3269 Maricopa Ave,,med,https://salons.greatclips.com/us/az/lake-havasu-city/3269-maricopa-ave,Walk-in salon chain
civic-community,Arizona MVD - Lake Havasu City,2081 Spawr Circle,(800) 251-5879,high,https://local.dmv.org/arizona/branch/lake-havasu-city-mvd,Public service / motor vehicle
civic-community,Go Lake Havasu (CVB),314 London Bridge Rd,,med,https://www.golakehavasu.com/,Tourism non-profit
hotels,Windsor Inn Lake Havasu City,451 London Bridge Rd (86403),(928) 855-4135,high,https://www.yelp.com/biz/windsor-inn-motel-lake-havasu-city-2,Independent lakeside motel
vacation-rentals,First Choice Property Vacation Rentals,Lake Havasu City,,high,https://www.fcphavasu.com/,Vacation-rental + property mgmt
vacation-rentals,Freedom Point Property Management,Lake Havasu City,,high,https://freedompointpm.com/,Luxury vacation-rental mgmt
vacation-rentals,Integrity Arizona Vacation Rentals,Lake Havasu City,,high,https://integrityarizonavacationrentals.com/,Vacation-rental mgmt since 2013
vacation-rentals,Havasu Realty,Lake Havasu City,,med,https://www.havasurealty.net/,Furnished vacation + long-term rentals
vacation-rentals,Lake Havasu Property Management,Lake Havasu City,,med,https://lakehavasupropertymanagement.com/,Manages 900+ homes incl short-term
rv-parks,Crazy Horse Campgrounds,1534 Beachcomber Blvd (86403),(928) 855-4033,high,https://crazyhorsecampgroundsaz.com/,Oldest LHC RV park/campground
rv-parks,Lake Havasu State Park Campground,699 London Bridge Rd (86403),(928) 855-2784,high,https://azstateparks.com/lake-havasu/camping-and-cabins/lake-havasu-camping,In-city state-park campground
attractions,Sunset Charter & Tour Co.,English Village area,(928) 691-3399,high,https://www.lakehavasuboattours.com/,Top boat-tour company (lighthouse cruises)
attractions,Lake Havasu Lighthouses (replica trail),Around the lake,,high,https://www.tripadvisor.com/Attraction_Review-g31262-d12493648.html,Signature LHC attraction (28 replicas)
venues,Lake Havasu Community Performing Arts Center & Little Theater,2675 Palo Verde Blvd S,(928) 855-1129,high,https://www.golakehavasu.com/directory/lake-havasu-performing-arts-center-little-theater/,Dedicated live-performance venue
